NOMBRE                                STOCK
Cama para perros                        0
Comedero para mascotas                  2
Collar para perros                      2
Rascador para gatos                     2
Bebedero para mascotas                  2
Cepillo para gatos                      1
Cama para perros                        0
Arenero para gatos                      0
Juguete para perros                     1
Juguete para perros                     0
Peine                                   0
Alimento para perros                    0
Ropa para perros                        1
Alimento para gatos                     1
Peine para perros                       0
Alimento para gatos                     0
Alimento para peces                     1
Alimento para gatos                     0
